Tipo.Titulo,Data.Vencimento,Data.Base,PU.Base.Manha,TempoDeMaduracao
Tesouro Prefixado,2025-01-01,2020-12-15,785,4.049315068493151
Tesouro Prefixado,2025-01-01,2020-12-16,787,4.046575342465753
Tesouro Prefixado,2025-01-01,2020-12-17,786,4.043835616438356
Tesouro Prefixado,2025-01-01,2020-12-18,783,4.041095890410959
Tesouro Prefixado,2025-01-01,2020-12-21,782,4.032876712328767
Tesouro Prefixado,2025-01-01,2020-12-22,788,4.03013698630137
Tesouro Prefixado,2025-01-01,2020-12-23,791,4.027397260273973
Tesouro Prefixado,2025-01-01,2020-12-28,792,4.013698630136986
Tesouro Prefixado,2025-01-01,2020-12-29,792,4.010958904109589
Tesouro Prefixado,2025-01-01,2020-12-30,795,4.008219178082192
Tesouro Prefixado,2025-01-01,2021-01-04,797,3.9945205479452053
Tesouro Prefixado,2025-01-01,2021-01-05,796,3.9917808219178084
Tesouro Prefixado,2025-01-01,2021-01-06,789,3.989041095890411
Tesouro Prefixado,2025-01-01,2021-01-07,786,3.9863013698630136
Tesouro Prefixado,2025-01-01,2021-01-08,783,3.9835616438356163
Tesouro Prefixado,2025-01-01,2021-01-11,775,3.9753424657534246
Tesouro Prefixado,2025-01-01,2021-01-12,770,3.9726027397260273
Tesouro Prefixado,2025-01-01,2021-01-13,773,3.96986301369863
Tesouro Prefixado,2025-01-01,2021-01-14,769,3.967123287671233
Tesouro Prefixado,2025-01-01,2021-01-15,771,3.9643835616438357
Tesouro Prefixado,2025-01-01,2021-01-18,773,3.956164383561644
Tesouro Prefixado,2025-01-01,2021-01-19,775,3.9534246575342467
Tesouro Prefixado,2025-01-01,2021-01-20,772,3.9506849315068493
Tesouro Prefixado,2025-01-01,2021-01-21,773,3.947945205479452
Tesouro Prefixado,2025-01-01,2021-01-22,767,3.9452054794520546
Tesouro Prefixado,2025-01-01,2021-01-26,767,3.9342465753424656
Tesouro Prefixado,2025-01-01,2021-01-27,770,3.9315068493150687
Tesouro Prefixado,2023-01-01,2020-01-24,854,2.9397260273972603
Tesouro Prefixado,2023-01-01,2020-01-27,854,2.9315068493150687
Tesouro Prefixado,2023-01-01,2020-01-28,856,2.9287671232876713
Tesouro Prefixado,2023-01-01,2020-01-29,856,2.926027397260274
Tesouro Prefixado,2023-01-01,2020-01-30,856,2.9232876712328766
Tesouro Prefixado,2023-01-01,2020-01-31,856,2.9205479452054797
Tesouro Prefixado,2023-01-01,2020-02-03,857,2.9123287671232876
Tesouro Prefixado,2023-01-01,2020-02-04,858,2.9095890410958902
Tesouro Prefixado,2023-01-01,2020-02-05,859,2.9068493150684933
Tesouro Prefixado,2023-01-01,2020-02-06,857,2.904109589041096
Tesouro Prefixado,2023-01-01,2020-02-07,857,2.9013698630136986
Tesouro Prefixado,2023-01-01,2020-02-10,857,2.893150684931507
Tesouro Prefixado,2023-01-01,2020-02-11,858,2.8904109589041096
Tesouro Prefixado,2023-01-01,2020-02-12,860,2.8876712328767122
Tesouro Prefixado,2023-01-01,2020-02-13,859,2.884931506849315
Tesouro Prefixado,2023-01-01,2020-02-14,861,2.882191780821918
Tesouro Prefixado,2023-01-01,2020-02-17,863,2.873972602739726
Tesouro Prefixado,2023-01-01,2020-02-18,863,2.871232876712329
Tesouro Prefixado,2023-01-01,2020-02-19,863,2.8684931506849316
Tesouro Prefixado,2023-01-01,2020-02-20,864,2.8657534246575342
Tesouro Prefixado,2023-01-01,2020-02-21,864,2.863013698630137
Tesouro Prefixado,2023-01-01,2020-02-26,863,2.8493150684931505
Tesouro Prefixado,2023-01-01,2020-02-27,861,2.8465753424657536
Tesouro Prefixado,2023-01-01,2020-02-28,863,2.8438356164383563
Tesouro Prefixado,2023-01-01,2020-03-02,871,2.835616438356164
Tesouro Prefixado,2023-01-01,2020-03-03,870,2.8328767123287673
Tesouro Prefixado,2023-01-01,2020-03-04,876,2.83013698630137
Tesouro Prefixado,2023-01-01,2020-03-05,875,2.8273972602739725
Tesouro Prefixado,2023-01-01,2020-03-06,864,2.824657534246575
Tesouro Prefixado,2023-01-01,2020-03-09,865,2.8164383561643835
Tesouro Prefixado,2023-01-01,2020-03-10,866,2.813698630136986
Tesouro Prefixado,2023-01-01,2020-03-11,868,2.8109589041095893
Tesouro Prefixado,2023-01-01,2020-03-12,822,2.808219178082192
Tesouro Prefixado,2023-01-01,2020-03-13,845,2.8054794520547945
Tesouro Prefixado,2023-01-01,2020-03-16,842,2.797260273972603
Tesouro Prefixado,2023-01-01,2020-03-17,855,2.7945205479452055
Tesouro Prefixado,2023-01-01,2020-03-18,845,2.791780821917808
Tesouro Prefixado,2023-01-01,2020-03-19,813,2.789041095890411
Tesouro Prefixado,2023-01-01,2020-03-20,837,2.786301369863014
Tesouro Prefixado,2023-01-01,2020-03-23,833,2.778082191780822
Tesouro Prefixado,2023-01-01,2020-03-24,831,2.7753424657534245
Tesouro Prefixado,2023-01-01,2020-03-25,836,2.7726027397260276
Tesouro Prefixado,2023-01-01,2020-03-26,850,2.76986301369863
Tesouro Prefixado,2023-01-01,2020-03-27,857,2.767123287671233
Tesouro Prefixado,2023-01-01,2020-03-30,863,2.758904109589041
Tesouro Prefixado,2023-01-01,2020-03-31,865,2.756164383561644
Tesouro Prefixado,2023-01-01,2020-04-01,864,2.7534246575342465
Tesouro Prefixado,2023-01-01,2020-04-02,866,2.750684931506849
Tesouro Prefixado,2023-01-01,2020-04-03,866,2.747945205479452
Tesouro Prefixado,2023-01-01,2020-04-06,865,2.73972602739726
Tesouro Prefixado,2023-01-01,2020-04-07,867,2.736986301369863
Tesouro Prefixado,2023-01-01,2020-04-08,866,2.734246575342466
Tesouro Prefixado,2023-01-01,2020-04-09,871,2.7315068493150685
Tesouro Prefixado,2023-01-01,2020-04-13,876,2.7205479452054795
