"Date","Price","Open","High","Low","Change %"
"May 12, 2019","105.354","105.425","105.425","105.323","0.82%"
"May 10, 2019","104.499","104.531","104.806","104.203","0.11%"
"May 09, 2019","104.380","104.116","104.812","104.116","-0.42%"
"May 08, 2019","104.823","104.940","105.367","104.489","-0.62%"
"May 07, 2019","105.474","105.251","105.902","104.857","0.22%"
"May 06, 2019","105.242","105.245","105.783","104.288","0.15%"
"May 05, 2019","105.082","105.082","105.082","105.082","0.31%"
"May 03, 2019","104.753","104.810","104.935","104.369","-0.06%"
"May 02, 2019","104.812","105.729","105.928","104.812","-0.87%"
"May 01, 2019","105.728","105.440","106.232","105.440","0.27%"
"Apr 30, 2019","105.440","105.137","105.726","105.005","0.29%"
"Apr 29, 2019","105.138","105.686","106.056","105.050","-0.49%"
"Apr 28, 2019","105.653","105.653","105.653","105.653","-0.00%"
"Apr 26, 2019","105.654","105.536","105.902","105.327","0.35%"
"Apr 25, 2019","105.287","105.760","105.899","105.080","-0.43%"
"Apr 24, 2019","105.744","105.037","105.835","104.982","0.67%"
"Apr 23, 2019","105.040","104.579","105.074","104.398","0.53%"
"Apr 22, 2019","104.484","105.076","105.123","104.455","-0.55%"
"Apr 21, 2019","105.057","105.166","105.166","105.057","-0.20%"
"Apr 19, 2019","105.269","105.269","105.269","105.269","0.00%"
"Apr 18, 2019","105.269","105.229","105.701","105.045","0.10%"
"Apr 17, 2019","105.162","105.201","105.333","104.826","0.02%"
"Apr 16, 2019","105.145","105.674","105.748","105.112","-0.58%"
"Apr 15, 2019","105.760","105.955","105.971","105.561","-0.17%"
"Apr 14, 2019","105.940","105.882","105.955","105.882","-0.00%"
"Apr 12, 2019","105.944","105.875","106.149","105.139","0.23%"
"Apr 11, 2019","105.696","106.366","106.401","105.629","-0.53%"
"Apr 10, 2019","106.260","106.057","106.504","105.971","0.11%"
"Apr 09, 2019","106.148","105.150","106.148","104.988","0.90%"
"Apr 08, 2019","105.203","105.856","106.018","105.085","-0.63%"
"Apr 07, 2019","105.872","105.837","105.872","105.800","0.05%"
"Apr 05, 2019","105.815","105.310","105.891","105.110","0.18%"
"Apr 04, 2019","105.621","105.475","105.687","105.301","0.17%"
"Apr 03, 2019","105.447","106.018","106.079","105.094","-0.42%"
"Apr 02, 2019","105.889","106.208","106.512","105.728","-0.20%"
"Apr 01, 2019","106.096","106.368","106.580","105.471","-0.29%"
"Mar 31, 2019","106.403","106.456","106.474","106.403","-0.36%"
"Mar 29, 2019","106.788","106.776","106.972","106.403","-0.18%"
"Mar 28, 2019","106.977","107.061","107.293","106.687","0.19%"
"Mar 27, 2019","106.775","105.876","106.902","105.718","0.77%"
"Mar 26, 2019","105.964","105.929","106.087","105.298","0.00%"
"Mar 25, 2019","105.964","105.876","106.565","105.194","0.10%"
"Mar 24, 2019","105.859","105.753","105.876","105.753","0.27%"
"Mar 22, 2019","105.572","104.277","106.053","104.242","1.22%"
"Mar 21, 2019","104.299","104.082","104.432","104.082","0.21%"
"Mar 20, 2019","104.083","103.218","104.209","103.201","0.84%"
"Mar 19, 2019","103.214","103.439","103.558","102.829","-0.26%"
"Mar 18, 2019","103.486","103.405","103.508","103.133","0.06%"
"Mar 17, 2019","103.422","103.388","103.422","103.371","0.07%"
"Mar 15, 2019","103.350","102.863","103.542","102.795","0.46%"
"Mar 14, 2019","102.875","103.406","103.457","102.846","-0.59%"
"Mar 13, 2019","103.487","103.748","103.782","103.356","-0.34%"
"Mar 12, 2019","103.840","102.965","103.919","102.594","0.70%"
"Mar 11, 2019","103.121","103.441","103.441","102.898","-0.39%"
"Mar 10, 2019","103.526","103.441","103.526","103.441","0.01%"
"Mar 08, 2019","103.515","103.152","103.578","103.000","0.26%"
"Mar 07, 2019","103.243","102.511","103.243","102.460","0.74%"
"Mar 06, 2019","102.483","102.293","102.730","102.175","0.28%"
"Mar 05, 2019","102.197","102.058","102.276","101.841","0.05%"
"Mar 04, 2019","102.143","101.476","102.193","101.459","0.67%"
"Mar 03, 2019","101.459","101.426","101.459","101.409","-0.14%"
"Mar 01, 2019","101.599","102.210","102.327","101.360","-0.63%"
"Feb 28, 2019","102.239","102.681","102.968","101.992","-0.27%"
"Feb 27, 2019","102.512","103.564","103.564","102.412","-1.02%"
"Feb 26, 2019","103.569","103.298","103.605","103.111","0.43%"
"Feb 25, 2019","103.125","103.151","103.195","102.753","0.04%"
"Feb 24, 2019","103.084","103.147","103.147","103.084","-0.08%"
"Feb 22, 2019","103.169","101.868","103.227","101.838","1.18%"
"Feb 21, 2019","101.965","104.095","104.141","101.693","-1.18%"
"Feb 20, 2019","103.185","104.650","104.858","103.124","-1.32%"
"Feb 19, 2019","104.562","103.175","104.720","103.090","1.33%"
"Feb 18, 2019","103.192","103.212","103.239","103.192","-0.02%"
"Feb 17, 2019","103.212","103.212","103.212","103.212","0.00%"
"Feb 15, 2019","103.212","101.911","103.260","101.462","0.36%"
"Feb 14, 2019","102.841","103.393","103.972","101.978","-0.37%"
"Feb 13, 2019","103.221","102.788","103.271","102.561","0.33%"
"Feb 12, 2019","102.885","103.398","103.398","102.788","-0.37%"
